Unnamed: 0,username,name,description,user_char,followers_count,following_agentid_list,previous_tweets,activity_vector
0,a.r.m.y664,❤️❤️❤️,"nazywam się Basia 🇵🇱+🇺🇸 moja mama jest z USA 🖤 warszawa ❤️ 🙊 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: nazywam się Basia 🇵🇱+🇺🇸 moja mama jest z USA 🖤 warszawa ❤️ 🙊 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",1755,[],[],"[0.74, 0.65, 0.43, 0.2, 0.13, 0.05, 0.04, 0.02, 0.01, 0.0, 0.06, 0.19, 0.54, 0.45, 0.29, 0.43, 0.5, 0.61, 0.54, 0.46, 0.56, 0.65, 0.83, 0.83]"
1,a2_9r,ايمن الفستقي🍺🥂🥃,"حسابي الاصلي تيكتككك(_8_ytp_ You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: حسابي الاصلي تيكتككك(_8_ytp_ You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",354,[],[],"[0.04, 0.04, 0.0, 0.0, 0.0, 0.01, 0.17, 0.48, 0.39, 0.3, 0.39, 0.52, 0.57, 0.54, 0.45, 0.62, 0.69, 0.81, 0.76, 0.67, 0.63, 0.45, 0.18, 0.12]"
2,ti.po.check,All,"Активный пользователь ТикТока 🌝
Меня зовут BDR-€X😏( скоро узнаете ) 
21 year🥰 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Активный пользователь ТикТока 🌝
Меня зовут BDR-€X😏( скоро узнаете ) 
21 year🥰 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",1960,[],[],"[0.04, 0.0, 0.01, 0.0, 0.0, 0.03, 0.17, 0.51, 0.38, 0.28, 0.41, 0.5, 0.56, 0.5, 0.47, 0.63, 0.74, 0.8, 0.83, 0.66, 0.6, 0.36, 0.19, 0.06]"
3,nutrifersanort,L.N Fernanda Sánchez,"Nutrióloga, educadora en diabetes. You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: Nutrióloga, educadora en diabetes. You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",43,[],[],"[0.06, 0.04, 0.0, 0.01, 0.05, 0.09, 0.16, 0.47, 0.36, 0.29, 0.35, 0.5, 0.61, 0.48, 0.52, 0.61, 0.65, 0.81, 0.78, 0.69, 0.58, 0.42, 0.19, 0.07]"
4,bhgdee,D💲,"Ig-bhg.dee📸
Sc-dannieo2099 👻
Fb- frank matthews✔️ You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: Ig-bhg.dee📸
Sc-dannieo2099 👻
Fb- frank matthews✔️ You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",276,[],[],"[0.1, 0.02, 0.06, 0.03, 0.03, 0.02, 0.25, 0.45, 0.38, 0.29, 0.43, 0.47, 0.64, 0.55, 0.47, 0.61, 0.65, 0.79, 0.75, 0.75, 0.59, 0.44, 0.23, 0.14]"
5,preyah_,Preyah,"Singer 🎤 Songwriter 📝
Гледай 💎ДИАМАНТ💎 сега 👇🏽 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: Singer 🎤 Songwriter 📝
Гледай 💎ДИАМАНТ💎 сега 👇🏽 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",108200,[],[],"[0.07, 0.09, 0.02, 0.09, 0.05, 0.11, 0.33, 0.5, 0.58, 0.67, 0.66, 0.82, 0.79, 0.77, 0.94, 0.88, 0.89, 0.88, 0.91, 0.81, 0.71, 0.58, 0.38, 0.18]"
6,anastasiaashley,Anastasia Ashley,"Pro surfer🏄🏻 
Contact: media@AnastasiaAshley.com
Check me out on IG too🤙 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: Pro surfer🏄🏻 
Contact: media@AnastasiaAshley.com
Check me out on IG too🤙 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",871100,[],[],"[0.14, 0.03, 0.08, 0.0, 0.01, 0.11, 0.3, 0.49, 0.58, 0.71, 0.69, 0.82, 0.8, 0.81, 0.91, 0.95, 0.93, 0.89, 0.94, 0.83, 0.66, 0.62, 0.43, 0.22]"
7,_sanek__56rus,Aleks,"КРИТИКА МОИХ НЕДОСТАТКОВ,
НЕ УМЕНЬШИТ ВАШИ!!!! Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: КРИТИКА МОИХ НЕДОСТАТКОВ,
НЕ УМЕНЬШИТ ВАШИ!!!! Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",3701,[],[],"[0.01, 0.05, 0.0, 0.03, 0.06, 0.05, 0.2, 0.46, 0.38, 0.3, 0.42, 0.53, 0.59, 0.46, 0.48, 0.64, 0.67, 0.8, 0.84, 0.65, 0.61, 0.45, 0.17, 0.1]"
8,_rinm,noi_29l,"ضيفو سنابي👇🏻
https://www.snapchat.com/add/ Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: ضيفو سنابي👇🏻
https://www.snapchat.com/add/ Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",16,[],[],"[0.09, 0.07, 0.05, 0.01, 0.0, 0.0, 0.19, 0.49, 0.4, 0.3, 0.41, 0.5, 0.63, 0.52, 0.51, 0.59, 0.68, 0.85, 0.78, 0.67, 0.56, 0.45, 0.16, 0.08]"
9,_k_1_ji_ji_e_ip__,_k_1_ji_ji_e_ip__,"No bio available. You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: No bio available. You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",14,[],[],"[0.0, 0.02, 0.01, 0.0, 0.0, 0.02, 0.19, 0.47, 0.36, 0.28, 0.37, 0.54, 0.65, 0.45, 0.52, 0.61, 0.74, 0.82, 0.8, 0.72, 0.59, 0.42, 0.23, 0.1]"
